,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NICKNAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS
0,2021-10-19T00:00:00,1,22100001,1610612751,BKN,Brooklyn,Nets,0-1,25,34,26,19,0,0,0,0,0,0,0,0,0,0,104
1,2021-10-19T00:00:00,1,22100001,1610612749,MIL,Milwaukee,Bucks,1-0,37,29,31,30,0,0,0,0,0,0,0,0,0,0,127
2,2021-10-19T00:00:00,2,22100002,1610612744,GSW,Golden State,Warriors,1-0,32,21,30,38,0,0,0,0,0,0,0,0,0,0,121
3,2021-10-19T00:00:00,2,22100002,1610612747,LAL,Los Angeles,Lakers,0-1,34,25,26,29,0,0,0,0,0,0,0,0,0,0,114
4,2021-10-20T00:00:00,1,22100003,1610612766,CHA,Charlotte,Hornets,1-0,27,32,33,31,0,0,0,0,0,0,0,0,0,0,123
5,2021-10-20T00:00:00,1,22100003,1610612754,IND,Indiana,Pacers,0-1,38,37,13,34,0,0,0,0,0,0,0,0,0,0,122
6,2021-10-20T00:00:00,2,22100004,1610612741,CHI,Chicago,Bulls,1-0,14,26,31,23,0,0,0,0,0,0,0,0,0,0,94
7,2021-10-20T00:00:00,2,22100004,1610612765,DET,Detroit,Pistons,0-1,20,24,25,19,0,0,0,0,0,0,0,0,0,0,88
8,2021-10-20T00:00:00,3,22100005,1610612752,NYK,New York,Knicks,1-0,29,25,32,30,12,10,0,0,0,0,0,0,0,0,138
9,2021-10-20T00:00:00,3,22100005,1610612738,BOS,Boston,Celtics,0-1,35,23,24,34,12,6,0,0,0,0,0,0,0,0,134
10,2021-10-20T00:00:00,4,22100006,1610612761,TOR,Toronto,Raptors,0-1,18,19,22,24,0,0,0,0,0,0,0,0,0,0,83
11,2021-10-20T00:00:00,4,22100006,1610612764,WAS,Washington,Wizards,1-0,26,31,24,17,0,0,0,0,0,0,0,0,0,0,98
