,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,CFID,CFPARAMS,SEASON
0,203932,Aaron Gordon,Aaron,1610612743,DEN,26.0,75,46,29,0.613,31.7,2.3,1.8,2.1,8.2,11.4,7.2,8.1,33.9,0.6,0.7,2.0,2.7,27.5,46,32,417,167,82,73,92,61,53,567,447,529,40,119,528,402,87,103,5,"203932,1610612743",2021-22
1,1630565,Aaron Henry,Aaron,1610612755,PHI,22.0,6,6,0,1.0,2.8,0.0,0.0,0.0,0.3,1.7,1.5,1.2,3.0,0.3,0.3,0.3,0.0,1.2,521,472,1,1,586,544,536,522,545,48,54,48,582,252,300,39,564,591,5,"1630565,1610612755",2021-22
2,1628988,Aaron Holiday,Aaron,1610612756,PHX,25.0,63,34,29,0.54,16.2,1.2,0.5,0.7,3.1,5.0,4.2,3.8,15.1,0.1,0.3,1.5,1.2,13.7,184,155,417,266,352,282,432,303,274,205,221,215,367,429,263,262,298,344,5,"1628988,1610612756",2021-22
3,1630174,Aaron Nesmith,Aaron,1610612738,BOS,22.0,52,32,20,0.615,11.0,0.6,0.4,0.5,1.3,4.2,3.1,2.8,9.8,0.1,0.0,1.3,0.5,7.3,273,177,259,162,457,435,457,365,455,163,149,137,473,474,73,230,462,478,5,"1630174,1610612738",2021-22
4,1630598,Aaron Wiggins,Aaron,1610612760,OKC,23.0,50,13,37,0.26,24.2,1.2,1.2,1.3,4.4,7.5,7.2,5.8,23.5,0.2,0.4,1.9,1.3,16.0,289,400,518,526,194,272,213,161,186,368,442,365,204,372,383,366,269,286,5,"1630598,1610612760",2021-22
5,1627846,Abdel Nader,Abdel,1610612756,PHX,28.0,14,11,3,0.786,10.4,0.3,0.4,0.5,1.1,4.0,2.6,2.5,9.9,0.3,0.1,1.4,1.0,7.3,468,415,72,39,470,518,451,370,469,151,122,119,469,298,132,254,336,479,5,"1627846,1610612756",2021-22
6,1630278,Ade Murkey,Ade,1610612758,SAC,24.0,1,0,1,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,589,580,23,580,600,544,536,522,565,1,1,1,591,520,1,1,564,596,5,"1630278,1610612758",2021-22
7,1629678,Admiral Schofield,Admiral,1610612753,ORL,25.0,38,10,28,0.263,12.3,0.5,0.2,0.3,1.3,4.6,3.7,3.0,11.9,0.1,0.1,1.5,0.6,7.8,363,427,399,523,431,458,512,469,451,183,188,161,440,441,124,277,460,467,5,"1629678,1610612753",2021-22
8,1629958,Ahmad Caver,Ahmad,1610612754,IND,25.0,1,0,1,0.0,0.8,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,589,580,23,580,605,103,536,522,370,1,1,1,602,520,1,1,564,579,5,"1629958,1610612754",2021-22
9,201143,Al Horford,Al,1610612738,BOS,36.0,69,46,23,0.667,29.1,1.5,1.5,0.6,4.5,8.1,6.8,6.4,23.8,1.3,0.2,1.9,1.2,29.6,110,32,308,83,117,193,137,329,182,401,419,412,201,17,174,374,285,86,5,"201143,1610612738",2021-22
