,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,CFID,CFPARAMS,PLAYER_ID
0,By Year,2020-21,1610612740,NOP,2021-05-04T00:00:00,61,29,32,0.475,46.5,14.5,23.8,0.611,0.2,0.8,0.294,8.5,12.1,0.698,3.8,6.3,10.1,5.2,3.8,1.3,0.9,3.0,3.1,8.4,37.8,2.0,60.5,14,0,57.7,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,264,2020-21,1629627
1,By Year,2019-20,1610612740,NOP,2020-08-09T00:00:00,24,11,13,0.458,45.1,14.2,24.3,0.583,0.4,0.9,0.429,7.7,12.0,0.64,4.3,5.8,10.1,3.4,4.0,1.1,0.6,2.6,2.8,9.0,36.4,4.2,54.7,2,0,53.7,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,264,2019-20,1629627
2,By Year,2020-21,-1,TOT,2021-05-16T00:00:00,10,4,6,0.4,48.4,7.1,20.1,0.351,3.2,9.9,0.321,2.5,3.2,0.778,1.8,4.9,6.7,7.8,1.1,2.5,1.1,2.1,3.9,4.9,19.8,-0.4,49.0,0,0,44.5,2,2,2,1,2,1,1,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,264,2020-21,1627812
3,By Year,2020-21,1610612746,LAC,2021-05-16T00:00:00,8,4,4,0.5,48.5,6.0,18.1,0.333,3.0,9.5,0.316,3.5,3.5,1.0,1.0,5.0,6.0,8.5,0.0,2.0,1.0,2.0,3.5,4.5,18.6,5.0,47.7,0,0,42.2,6,5,6,1,3,6,2,7,2,2,5,1,4,1,3,1,2,1,7,2,2,2,3,3,4,1,2,2,1,2,264,2020-21,1627812
4,By Year,2020-21,1610612739,CLE,2021-01-12T00:00:00,2,0,2,0.0,48.2,9.5,25.0,0.381,3.6,10.7,0.333,0.0,2.4,0.0,3.6,4.8,8.3,6.0,3.6,3.6,1.2,2.4,4.8,6.0,22.6,-13.1,52.3,0,0,50.0,7,7,7,7,4,1,1,5,1,1,4,7,6,7,1,3,1,4,2,1,1,1,1,1,1,6,1,2,1,1,264,2020-21,1627812
5,By Year,2019-20,1610612758,SAC,2020-08-13T00:00:00,50,20,30,0.4,47.1,7.0,16.7,0.42,2.1,7.0,0.304,3.2,3.7,0.857,0.5,3.8,4.4,6.1,2.5,1.6,0.4,0.9,3.4,4.1,19.4,-1.2,37.2,0,0,35.9,3,3,3,4,5,2,3,3,7,6,6,2,2,4,7,6,6,3,4,4,4,4,5,5,3,3,4,2,1,4,264,2019-20,1627812
6,By Year,2018-19,1610612758,SAC,2019-04-10T00:00:00,71,33,38,0.465,46.2,6.6,15.2,0.435,2.3,6.4,0.362,2.6,2.9,0.896,0.6,4.2,4.7,5.9,1.7,1.6,0.2,0.9,2.8,3.9,18.2,-2.4,36.2,0,0,34.6,2,1,2,3,7,5,6,1,6,7,3,5,5,2,5,4,5,5,5,5,7,5,7,6,5,4,5,2,1,5,264,2018-19,1627812
7,By Year,2017-18,1610612742,DAL,2018-04-10T00:00:00,82,24,58,0.293,49.2,6.7,15.7,0.426,2.9,7.7,0.373,1.8,2.2,0.796,0.6,4.8,5.4,4.3,1.7,1.4,0.2,0.7,3.3,2.9,18.1,0.1,34.1,3,0,33.8,1,2,1,5,2,4,5,2,4,4,2,6,7,5,6,2,3,7,6,6,6,6,6,7,6,2,6,1,1,6,264,2017-18,1627812
8,By Year,2016-17,-1,TOT,2017-04-12T00:00:00,46,18,28,0.391,50.0,6.7,16.5,0.406,2.8,7.4,0.386,3.1,3.7,0.831,0.8,3.8,4.6,7.2,2.9,1.8,0.4,0.9,3.8,4.3,19.3,-4.9,39.1,0,0,38.2,1,1,1,2,1,2,2,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,264,2016-17,1627812
9,By Year,2016-17,1610612742,DAL,2017-04-12T00:00:00,36,17,19,0.472,50.5,6.9,16.7,0.412,2.9,7.2,0.403,3.1,3.5,0.877,0.8,4.0,4.8,7.5,2.7,1.9,0.3,1.0,3.8,4.3,19.7,-3.5,40.8,0,0,39.4,4,4,4,2,1,3,4,4,3,5,1,3,3,3,4,5,4,2,3,3,5,3,2,4,2,5,3,2,1,3,264,2016-17,1627812
10,By Year,2016-17,1610612751,BKN,2016-12-01T00:00:00,10,1,9,0.1,46.7,5.6,15.1,0.367,2.5,8.3,0.296,3.1,4.9,0.625,1.2,2.5,3.7,5.2,4.3,0.6,0.6,0.3,3.4,4.9,16.7,-13.6,28.4,0,0,30.6,5,6,5,6,6,7,7,6,5,3,7,4,1,6,2,7,7,6,1,7,3,7,4,2,7,7,7,2,1,7,264,2016-17,1627812
11,By Year,2020-21,1610612740,NOP,2021-03-23T00:00:00,1,1,0,1.0,40.8,0.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,-125.0,-12.5,0,0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2020-21,1630266
12,By Year,2020-21,1610612755,PHI,2021-03-20T00:00:00,10,8,2,0.8,44.5,3.4,13.6,0.25,0.0,1.1,0.0,2.3,6.8,0.333,6.8,9.1,15.9,2.3,4.5,0.0,3.4,2.3,9.1,3.4,9.1,-18.2,37.3,0,0,34.1,2,2,2,2,1,2,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,1,1,1,2,2,2,1,1,2,264,2020-21,1629738
13,By Year,2019-20,1610612738,BOS,2020-08-13T00:00:00,22,18,4,0.818,44.4,5.8,12.3,0.472,0.3,0.7,0.5,2.0,2.4,0.857,4.4,10.2,14.7,2.7,2.7,0.7,3.1,1.0,8.5,3.1,14.0,-6.8,44.2,0,0,39.2,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,1,2,1,2,1,2,2,2,2,1,1,1,1,1,1,264,2019-20,1629738
14,By Year,2020-21,1610612742,DAL,2021-05-16T00:00:00,18,11,7,0.611,43.8,4.3,13.6,0.318,0.6,2.5,0.25,1.9,3.1,0.6,4.9,6.8,11.7,1.9,1.9,0.0,0.6,1.2,3.7,3.7,11.1,-22.8,28.0,0,0,26.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2020-21,1630189
15,By Year,2020-21,1610612756,PHX,2021-05-15T00:00:00,15,11,4,0.733,48.5,3.1,12.2,0.25,2.0,9.2,0.222,1.0,2.0,0.5,2.0,8.2,10.2,6.1,3.1,0.0,1.0,0.0,2.0,1.0,9.2,-8.2,30.6,0,0,29.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2020-21,1630234
16,By Year,2020-21,1610612739,CLE,2021-01-12T00:00:00,8,3,5,0.375,49.3,6.5,11.6,0.556,0.0,1.3,0.0,6.5,7.1,0.909,5.2,6.5,11.6,2.6,1.9,1.3,2.6,0.6,4.5,6.5,19.4,-11.6,46.8,0,0,41.3,6,6,6,5,3,3,6,1,6,6,6,1,1,1,1,5,1,2,3,3,2,5,5,1,2,6,1,2,1,2,264,2020-21,1627748
17,By Year,2019-20,1610612765,DET,2020-03-11T00:00:00,60,20,40,0.333,48.9,5.9,12.2,0.482,1.4,4.0,0.344,4.6,6.9,0.664,3.4,7.1,10.5,2.7,2.8,1.6,2.5,0.8,6.4,5.6,17.7,-9.0,43.7,2,0,40.4,2,4,1,6,5,4,4,2,4,5,2,2,2,4,3,3,3,1,1,1,3,2,3,2,4,5,3,1,1,3,264,2019-20,1627748
18,By Year,2018-19,-1,TOT,2019-04-10T00:00:00,64,44,20,0.688,47.7,5.4,13.2,0.407,2.4,7.5,0.32,2.7,4.1,0.667,2.0,7.9,9.9,2.2,1.6,1.0,2.5,0.6,5.2,3.6,15.9,-0.2,40.1,0,0,37.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2018-19,1627748
19,By Year,2018-19,1610612765,DET,2019-04-10T00:00:00,29,17,12,0.586,49.3,4.4,11.7,0.373,2.0,6.6,0.307,3.1,4.1,0.766,2.1,7.2,9.3,2.4,2.1,1.0,2.9,0.7,4.4,3.4,13.9,-3.2,38.0,0,0,35.3,5,5,4,2,4,6,5,6,3,3,4,3,5,2,5,2,5,3,2,5,1,4,6,5,6,3,5,2,1,5,264,2018-19,1627748
20,By Year,2018-19,1610612749,MIL,2019-01-21T00:00:00,35,27,8,0.771,45.8,6.6,15.0,0.44,2.9,8.7,0.333,2.2,4.1,0.541,1.9,8.8,10.7,2.0,1.0,1.1,2.0,0.6,6.2,3.8,18.3,3.7,42.6,0,0,40.3,4,3,5,1,6,2,2,4,1,1,3,6,4,6,6,1,2,5,6,4,6,6,4,4,3,1,4,2,1,4,264,2018-19,1627748
