,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,CFID,CFPARAMS,PLAYER_ID
0,By Year,2020-21,1610612740,NOP,2021-05-04T00:00:00,61,29,32,0.475,2025.89,11.3,18.4,0.611,0.2,0.6,0.294,6.6,9.4,0.698,3.0,4.9,7.8,4.0,3.0,1.0,0.7,2.3,2.4,6.5,29.3,1.6,46.8,14,0,44.7,1,1,1,1,1,2,2,1,2,2,2,1,2,1,2,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,264,2020-21,1629627
1,By Year,2019-20,1610612740,NOP,2020-08-09T00:00:00,24,11,13,0.458,668.1416666666667,11.3,19.4,0.583,0.3,0.8,0.429,6.1,9.6,0.64,3.4,4.6,8.1,2.7,3.2,0.9,0.5,2.1,2.3,7.2,29.1,3.3,43.7,2,0,42.9,2,2,2,2,2,1,1,2,1,1,1,2,1,2,1,2,1,2,1,2,2,2,2,1,2,1,2,2,1,2,264,2019-20,1629627
2,By Year,2020-21,-1,TOT,2021-05-16T00:00:00,10,4,6,0.4,136.98166666666665,5.3,15.0,0.351,2.4,7.4,0.321,1.8,2.4,0.778,1.3,3.7,5.0,5.8,0.8,1.8,0.8,1.6,2.9,3.7,14.7,-0.3,36.5,0,0,33.1,2,2,2,1,2,1,1,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,264,2020-21,1627812
3,By Year,2020-21,1610612746,LAC,2021-05-16T00:00:00,8,4,4,0.5,96.48,4.5,13.4,0.333,2.2,7.1,0.316,2.6,2.6,1.0,0.7,3.7,4.5,6.3,0.0,1.5,0.7,1.5,2.6,3.4,13.8,3.7,35.4,0,0,31.3,6,5,6,1,6,6,2,7,2,2,5,1,3,1,3,1,2,1,7,2,2,2,4,3,5,1,2,2,1,2,264,2020-21,1627812
4,By Year,2020-21,1610612739,CLE,2021-01-12T00:00:00,2,0,2,0.0,40.501666666666665,7.1,18.7,0.381,2.7,8.0,0.333,0.0,1.8,0.0,2.7,3.6,6.2,4.4,2.7,2.7,0.9,1.8,3.6,4.4,16.9,-9.8,39.0,0,0,37.3,7,7,7,7,7,1,1,5,1,1,4,7,6,7,1,2,1,5,2,1,1,1,1,1,1,6,1,2,1,1,264,2020-21,1627812
5,By Year,2019-20,1610612758,SAC,2020-08-13T00:00:00,50,20,30,0.4,529.76,5.4,12.8,0.42,1.6,5.4,0.304,2.4,2.9,0.857,0.4,2.9,3.3,4.7,1.9,1.2,0.3,0.7,2.6,3.1,14.8,-1.0,28.4,0,0,27.5,3,3,3,4,4,2,3,3,7,5,6,2,2,4,7,5,6,3,4,4,4,4,5,4,2,3,4,2,1,4,264,2019-20,1627812
6,By Year,2018-19,1610612758,SAC,2019-04-10T00:00:00,71,33,38,0.465,1066.6483333333333,5.2,11.9,0.435,1.8,5.0,0.362,2.0,2.3,0.896,0.4,3.2,3.7,4.6,1.4,1.2,0.1,0.7,2.2,3.0,14.2,-1.9,28.2,0,0,27.0,2,1,2,3,2,3,4,1,6,7,3,5,5,2,5,4,4,4,5,5,7,5,7,6,3,4,5,2,1,5,264,2018-19,1627812
7,By Year,2017-18,1610612742,DAL,2018-04-10T00:00:00,82,24,58,0.293,2281.485,4.9,11.5,0.426,2.1,5.7,0.373,1.3,1.6,0.796,0.4,3.5,3.9,3.2,1.2,1.0,0.1,0.5,2.4,2.1,13.2,0.0,24.9,3,0,24.7,1,2,1,5,1,4,7,2,3,4,2,6,7,5,6,3,3,7,6,6,6,6,6,7,6,2,6,1,1,6,264,2017-18,1627812
8,By Year,2016-17,-1,TOT,2017-04-12T00:00:00,46,18,28,0.391,1197.0116666666668,4.8,11.8,0.406,2.0,5.3,0.386,2.2,2.7,0.831,0.6,2.7,3.3,5.2,2.1,1.3,0.3,0.7,2.7,3.1,13.9,-3.5,28.2,0,0,27.5,1,1,1,2,1,2,2,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,264,2016-17,1627812
9,By Year,2016-17,1610612742,DAL,2017-04-12T00:00:00,36,17,19,0.472,1045.6816666666666,4.9,11.9,0.412,2.1,5.1,0.403,2.2,2.5,0.877,0.6,2.9,3.4,5.3,1.9,1.4,0.2,0.7,2.7,3.0,14.0,-2.5,29.1,0,0,28.1,4,4,4,2,3,5,5,4,4,6,1,4,4,3,4,6,5,2,3,3,5,3,2,5,4,5,3,2,1,3,264,2016-17,1627812
10,By Year,2016-17,1610612751,BKN,2016-12-01T00:00:00,10,1,9,0.1,151.33,4.3,11.7,0.367,1.9,6.4,0.296,2.4,3.8,0.625,1.0,1.9,2.9,4.0,3.3,0.5,0.5,0.2,2.6,3.8,12.8,-10.5,21.9,0,0,23.6,5,6,5,6,5,7,6,6,5,3,7,3,1,6,2,7,7,6,1,7,3,7,3,2,7,7,7,2,1,7,264,2016-17,1627812
11,By Year,2020-21,1610612740,NOP,2021-03-23T00:00:00,1,1,0,1.0,3.2666666666666666,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,-110.2,-11.0,0,0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2020-21,1630266
12,By Year,2020-21,1610612755,PHI,2021-03-20T00:00:00,10,8,2,0.8,39.13333333333333,2.8,11.0,0.25,0.0,0.9,0.0,1.8,5.5,0.333,5.5,7.4,12.9,1.8,3.7,0.0,2.8,1.8,7.4,2.8,7.4,-14.7,30.2,0,0,27.6,2,2,2,2,2,2,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,1,1,1,2,2,2,1,1,2,264,2020-21,1629738
13,By Year,2019-20,1610612738,BOS,2020-08-13T00:00:00,22,18,4,0.818,129.99166666666667,4.7,10.0,0.472,0.3,0.6,0.5,1.7,1.9,0.857,3.6,8.3,11.9,2.2,2.2,0.6,2.5,0.8,6.9,2.5,11.4,-5.5,35.9,0,0,31.8,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,1,2,1,2,1,2,2,2,2,1,1,1,1,1,1,264,2019-20,1629738
14,By Year,2020-21,1610612742,DAL,2021-05-16T00:00:00,18,11,7,0.611,70.95,3.6,11.2,0.318,0.5,2.0,0.25,1.5,2.5,0.6,4.1,5.6,9.6,1.5,1.5,0.0,0.5,1.0,3.0,3.0,9.1,-18.8,23.0,0,0,21.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2020-21,1630189
15,By Year,2020-21,1610612756,PHX,2021-05-15T00:00:00,15,11,4,0.733,47.485,2.3,9.1,0.25,1.5,6.8,0.222,0.8,1.5,0.5,1.5,6.1,7.6,4.5,2.3,0.0,0.8,0.0,1.5,0.8,6.8,-6.1,22.7,0,0,22.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2020-21,1630234
16,By Year,2020-21,1610612739,CLE,2021-01-12T00:00:00,8,3,5,0.375,76.47,4.7,8.5,0.556,0.0,0.9,0.0,4.7,5.2,0.909,3.8,4.7,8.5,1.9,1.4,0.9,1.9,0.5,3.3,4.7,14.1,-8.5,34.2,0,0,30.1,6,6,6,5,6,3,6,1,6,6,6,1,1,1,1,5,1,2,3,3,2,5,5,1,3,6,1,2,1,2,264,2020-21,1627748
17,By Year,2019-20,1610612765,DET,2020-03-11T00:00:00,60,20,40,0.333,776.095,4.3,9.0,0.482,1.0,3.0,0.344,3.4,5.1,0.664,2.5,5.2,7.7,2.0,2.1,1.2,1.8,0.6,4.7,4.1,13.0,-6.6,32.1,2,0,29.7,2,4,1,6,2,4,4,2,4,5,2,2,2,4,3,3,3,1,1,1,3,2,3,2,4,5,3,1,1,3,264,2019-20,1627748
18,By Year,2018-19,-1,TOT,2019-04-10T00:00:00,64,44,20,0.688,972.3016666666666,4.0,9.9,0.407,1.8,5.7,0.32,2.1,3.1,0.667,1.5,6.0,7.5,1.7,1.2,0.8,1.9,0.5,3.9,2.7,12.0,-0.1,30.2,0,0,28.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2018-19,1627748
19,By Year,2018-19,1610612765,DET,2019-04-10T00:00:00,29,17,12,0.586,563.1433333333333,3.2,8.6,0.373,1.5,4.8,0.307,2.3,3.0,0.766,1.5,5.2,6.8,1.7,1.5,0.7,2.1,0.5,3.2,2.5,10.2,-2.4,27.8,0,0,25.8,5,5,4,2,3,6,5,6,3,2,4,3,5,2,5,2,5,3,2,5,1,4,6,5,6,3,5,2,1,5,264,2018-19,1627748
20,By Year,2018-19,1610612749,MIL,2019-01-21T00:00:00,35,27,8,0.771,409.15833333333336,5.2,11.8,0.44,2.3,6.9,0.333,1.8,3.3,0.541,1.5,7.0,8.4,1.6,0.8,0.9,1.6,0.4,4.8,3.0,14.4,2.9,33.5,0,0,31.7,4,3,5,1,5,2,1,4,1,1,3,6,3,6,6,1,2,4,6,4,5,6,2,3,2,1,2,2,1,1,264,2018-19,1627748
21,By Year,2017-18,1610612749,MIL,2018-04-11T00:00:00,74,40,34,0.541,1237.885,3.8,9.2,0.411,0.9,3.0,0.298,1.9,2.7,0.699,2.2,4.4,6.5,1.3,1.3,1.1,1.5,0.6,4.7,2.4,10.4,-4.7,26.9,0,0,24.4,1,1,2,4,1,5,3,5,5,4,5,5,6,3,4,6,6,6,4,2,6,3,4,6,5,4,6,2,1,6,264,2017-18,1627748
22,By Year,2016-17,1610612749,MIL,2017-04-12T00:00:00,57,31,26,0.544,562.1883333333334,5.3,11.6,0.459,1.8,4.7,0.378,2.0,3.1,0.653,2.6,4.7,7.3,1.5,1.1,0.6,1.7,0.8,5.4,2.8,14.5,-1.7,31.3,0,0,29.6,3,2,3,3,4,1,2,3,2,3,1,4,4,5,2,4,4,5,5,6,4,1,1,4,1,2,4,2,1,4,264,2016-17,1627748
23,By Year,2020-21,1610612755,PHI,2021-03-20T00:00:00,13,10,3,0.769,49.32,0.7,5.1,0.143,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.5,2.9,0.7,0.0,0.0,5.1,0.0,1.5,-13.9,3.8,0,0,5.1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,4,4,4,1,4,4,4,4,1,1,4,264,2020-21,1628390
24,By Year,2019-20,1610612760,OKC,2020-08-14T00:00:00,56,33,23,0.589,1257.4483333333333,2.2,6.3,0.355,1.4,4.8,0.292,0.4,0.6,0.75,0.7,1.5,2.1,1.5,0.9,0.8,0.5,0.1,4.4,1.1,6.3,-4.1,13.9,0,0,13.8,3,3,3,4,2,3,3,3,3,3,3,2,2,2,2,2,3,1,2,2,1,3,2,2,3,3,3,1,1,3,264,2019-20,1628390
25,By Year,2018-19,1610612760,OKC,2019-04-10T00:00:00,74,44,30,0.595,1931.0783333333334,3.4,8.0,0.429,2.0,5.4,0.366,0.7,1.0,0.725,0.6,2.0,2.6,1.3,0.9,0.7,0.3,0.2,4.3,1.1,9.6,2.6,17.0,0,0,17.6,1,1,1,3,1,1,1,1,1,2,1,1,1,3,3,1,1,3,3,3,3,2,3,1,1,1,2,1,1,1,264,2018-19,1628390
26,By Year,2017-18,1610612760,OKC,2018-04-11T00:00:00,61,37,24,0.607,763.0966666666667,3.3,8.0,0.414,1.9,5.7,0.333,0.4,0.5,0.9,0.9,1.3,2.2,0.9,0.5,1.1,0.5,0.3,3.9,0.7,8.9,-4.0,17.2,0,0,17.1,2,2,2,2,3,2,2,2,2,1,2,3,3,1,1,3,2,4,4,1,2,1,4,3,2,2,1,1,1,2,264,2017-18,1628390
27,By Year,2020-21,1610612754,IND,2020-12-29T00:00:00,4,3,1,0.75,117.38166666666666,8.3,15.6,0.529,0.0,2.1,0.0,2.5,3.1,0.8,0.6,3.7,4.3,1.5,1.2,0.6,0.0,0.6,4.9,3.7,19.0,0.3,27.1,0,0,26.1,7,7,7,1,7,3,4,2,7,4,7,4,4,3,7,3,7,3,5,7,7,4,1,1,4,2,6,5,1,6,264,2020-21,203933
28,By Year,2019-20,1610612754,IND,2020-08-10T00:00:00,67,42,25,0.627,2202.3516666666665,8.7,16.3,0.536,1.5,3.7,0.403,2.7,3.3,0.819,1.1,3.5,4.6,1.6,1.4,1.3,0.6,0.5,3.1,2.9,21.7,2.1,33.7,2,0,33.0,1,1,5,2,1,2,2,1,2,2,2,2,2,1,5,5,6,2,4,3,4,5,5,3,1,1,2,3,1,1,264,2019-20,203933
29,By Year,2018-19,1610612756,PHX,2019-01-22T00:00:00,43,10,33,0.233,1359.9983333333332,7.9,16.2,0.486,2.0,4.8,0.428,2.7,3.3,0.815,0.8,3.8,4.6,1.7,1.4,1.4,0.8,0.8,3.2,2.5,20.4,-6.0,33.5,0,0,33.0,5,6,3,7,4,4,3,7,1,1,1,3,3,2,6,1,5,1,3,1,1,2,3,4,3,6,3,5,1,2,264,2018-19,203933
30,By Year,2017-18,1610612756,PHX,2018-03-17T00:00:00,65,18,47,0.277,2141.766666666667,8.9,17.9,0.498,0.3,1.5,0.222,3.2,4.3,0.757,2.1,3.5,5.6,1.4,1.4,1.1,0.7,0.9,2.5,3.4,21.4,-7.2,34.1,6,0,32.3,3,3,1,6,2,1,1,5,5,6,6,1,1,5,3,4,2,6,2,5,2,1,7,2,2,7,1,1,1,3,264,2017-18,203933
