,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,CFID,CFPARAMS,PLAYER_ID
0,By Year,2020-21,1610612740,NOP,2021-05-04T00:00:00,61,29,32,0.475,33.2,10.4,17.0,0.611,0.2,0.6,0.294,6.0,8.7,0.698,2.7,4.5,7.2,3.7,2.7,0.9,0.6,2.1,2.2,6.0,27.0,1.5,43.2,14,0,41.2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,264,2020-21,1629627
1,By Year,2019-20,1610612740,NOP,2020-08-09T00:00:00,24,11,13,0.458,27.8,8.8,15.0,0.583,0.3,0.6,0.429,4.8,7.4,0.64,2.7,3.6,6.3,2.1,2.5,0.7,0.4,1.6,1.8,5.5,22.5,2.6,33.8,2,0,33.2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,264,2019-20,1629627
2,By Year,2020-21,-1,TOT,2021-05-16T00:00:00,10,4,6,0.4,13.7,2.0,5.7,0.351,0.9,2.8,0.321,0.7,0.9,0.778,0.5,1.4,1.9,2.2,0.3,0.7,0.3,0.6,1.1,1.4,5.6,-0.1,13.9,0,0,12.6,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,1,1,2,264,2020-21,1627812
3,By Year,2020-21,1610612746,LAC,2021-05-16T00:00:00,8,4,4,0.5,12.1,1.5,4.5,0.333,0.8,2.4,0.316,0.9,0.9,1.0,0.3,1.3,1.5,2.1,0.0,0.5,0.3,0.5,0.9,1.1,4.6,1.3,11.9,0,0,10.5,6,5,6,1,6,7,6,7,6,5,5,4,6,1,5,5,5,4,7,5,2,3,6,6,6,1,4,2,1,5,264,2020-21,1627812
4,By Year,2020-21,1610612739,CLE,2021-01-12T00:00:00,2,0,2,0.0,20.3,4.0,10.5,0.381,1.5,4.5,0.333,0.0,1.0,0.0,1.5,2.0,3.5,2.5,1.5,1.5,0.5,1.0,2.0,2.5,9.5,-5.5,22.0,0,0,21.0,7,7,7,7,3,1,1,5,3,1,4,7,4,7,1,3,1,2,2,1,1,1,2,1,3,7,2,2,1,2,264,2020-21,1627812
5,By Year,2019-20,1610612758,SAC,2020-08-13T00:00:00,50,20,30,0.4,10.6,1.6,3.8,0.42,0.5,1.6,0.304,0.7,0.8,0.857,0.1,0.9,1.0,1.4,0.6,0.4,0.1,0.2,0.8,0.9,4.4,-0.3,8.4,0,0,8.1,3,3,3,4,7,6,7,3,7,7,6,6,7,4,7,6,7,7,6,6,6,6,7,7,7,3,7,2,1,7,264,2019-20,1627812
6,By Year,2018-19,1610612758,SAC,2019-04-10T00:00:00,71,33,38,0.465,15.0,2.2,5.0,0.435,0.8,2.1,0.362,0.8,0.9,0.896,0.2,1.4,1.5,1.9,0.6,0.5,0.1,0.3,0.9,1.3,5.9,-0.8,11.8,0,0,11.3,2,1,2,3,5,4,4,1,5,6,3,5,5,2,6,4,4,5,5,4,7,5,5,5,4,4,5,2,1,4,264,2018-19,1627812
7,By Year,2017-18,1610612742,DAL,2018-04-10T00:00:00,82,24,58,0.293,27.8,3.8,8.9,0.426,1.6,4.4,0.373,1.0,1.3,0.796,0.3,2.7,3.0,2.5,1.0,0.8,0.1,0.4,1.9,1.7,10.2,0.0,19.3,3,0,19.1,1,2,1,5,2,3,3,2,2,2,2,2,3,5,4,1,2,3,4,3,5,4,3,3,2,2,3,1,1,3,264,2017-18,1627812
8,By Year,2016-17,-1,TOT,2017-04-12T00:00:00,46,18,28,0.391,26.0,3.5,8.6,0.406,1.5,3.8,0.386,1.6,1.9,0.831,0.4,2.0,2.4,3.7,1.5,0.9,0.2,0.5,2.0,2.3,10.0,-2.5,20.4,0,0,19.9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,264,2016-17,1627812
9,By Year,2016-17,1610612742,DAL,2017-04-12T00:00:00,36,17,19,0.472,29.0,3.9,9.6,0.412,1.7,4.1,0.403,1.8,2.0,0.877,0.4,2.3,2.8,4.3,1.6,1.1,0.2,0.6,2.2,2.4,11.3,-2.0,23.5,0,0,22.7,4,4,4,2,1,2,2,4,1,3,1,1,1,3,2,2,3,1,1,2,4,2,1,2,1,5,1,2,1,1,264,2016-17,1627812
10,By Year,2016-17,1610612751,BKN,2016-12-01T00:00:00,10,1,9,0.1,15.1,1.8,4.9,0.367,0.8,2.7,0.296,1.0,1.6,0.625,0.4,0.8,1.2,1.7,1.4,0.2,0.2,0.1,1.1,1.6,5.4,-4.4,9.2,0,0,9.9,5,6,5,6,4,5,5,6,4,4,7,2,2,6,3,7,6,6,3,7,3,7,4,4,5,6,6,2,1,6,264,2016-17,1627812
11,By Year,2020-21,1610612740,NOP,2021-03-23T00:00:00,1,1,0,1.0,3.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-10.0,-1.0,0,0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2020-21,1630266
12,By Year,2020-21,1610612755,PHI,2021-03-20T00:00:00,10,8,2,0.8,3.9,0.3,1.2,0.25,0.0,0.1,0.0,0.2,0.6,0.333,0.6,0.8,1.4,0.2,0.4,0.0,0.3,0.2,0.8,0.3,0.8,-1.6,3.3,0,0,3.0,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,264,2020-21,1629738
13,By Year,2019-20,1610612738,BOS,2020-08-13T00:00:00,22,18,4,0.818,5.9,0.8,1.6,0.472,0.0,0.1,0.5,0.3,0.3,0.857,0.6,1.4,2.0,0.4,0.4,0.1,0.4,0.1,1.1,0.4,1.9,-0.9,5.9,0,0,5.2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,264,2019-20,1629738
