,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,CFID,CFPARAMS,SEASON
0,1610612737,Atlanta Hawks,82,43,39,0.524,48.7,15.8,12.4,9.8,46.2,15.3,12.9,12.4,48.6,1,16,16,16,30,20,22,30,19,6,12,14,19,10,Atlanta Hawks,2021-22
1,1610612738,Boston Celtics,82,51,31,0.622,49.3,16.6,13.2,11.2,47.3,15.4,12.8,11.7,43.2,1,6,6,6,2,11,15,21,15,9,5,9,2,10,Boston Celtics,2021-22
2,1610612751,Brooklyn Nets,82,44,38,0.537,48.3,15.7,13.8,13.8,46.1,17.3,13.8,14.0,47.4,1,14,14,14,19,21,10,8,21,25,22,26,14,10,Brooklyn Nets,2021-22
3,1610612766,Charlotte Hornets,82,43,39,0.524,47.8,18.3,13.3,16.0,50.6,16.1,14.8,13.7,47.4,1,16,16,16,3,3,14,3,3,14,29,24,13,10,Charlotte Hornets,2021-22
4,1610612741,Chicago Bulls,82,46,36,0.561,48.6,16.5,11.2,12.9,46.2,15.4,12.8,12.1,50.1,1,12,12,12,24,12,29,13,20,8,6,12,24,10,Chicago Bulls,2021-22
5,1610612739,Cleveland Cavaliers,82,44,38,0.537,49.5,16.3,13.0,11.5,49.8,17.9,12.9,12.5,48.0,1,14,14,14,24,14,18,20,5,29,11,18,16,10,Cleveland Cavaliers,2021-22
6,1610612742,Dallas Mavericks,82,52,30,0.634,50.2,15.5,11.4,10.4,44.7,15.0,13.7,12.5,49.1,1,5,5,5,19,24,28,27,25,4,21,16,21,10,Dallas Mavericks,2021-22
7,1610612743,Denver Nuggets,82,48,34,0.585,48.8,15.7,12.7,13.6,49.7,17.5,11.5,12.6,50.3,1,10,10,10,8,22,20,9,7,26,1,19,25,10,Denver Nuggets,2021-22
8,1610612765,Detroit Pistons,82,23,59,0.28,48.6,17.1,13.7,10.6,45.9,17.0,12.6,11.1,50.0,1,28,28,28,13,8,12,26,22,21,2,3,23,10,Detroit Pistons,2021-22
9,1610612744,Golden State Warriors,82,53,29,0.646,48.6,17.8,12.8,13.9,45.1,17.0,12.8,12.4,44.3,1,3,3,3,24,6,19,7,24,22,7,15,4,10,Golden State Warriors,2021-22
10,1610612745,Houston Rockets,82,20,62,0.244,47.5,15.9,14.0,12.0,48.2,20.9,14.5,15.5,52.4,1,30,30,30,19,18,9,17,14,30,26,30,30,10,Houston Rockets,2021-22
11,1610612754,Indiana Pacers,82,25,57,0.305,48.7,14.6,14.7,13.3,49.9,17.1,13.6,13.4,51.8,1,26,26,26,3,28,6,11,4,24,20,23,29,10,Indiana Pacers,2021-22
12,1610612746,LA Clippers,82,42,40,0.512,48.7,15.6,11.0,12.0,43.9,16.7,15.2,13.1,50.6,1,18,18,18,13,23,30,18,29,17,30,21,27,10,LA Clippers,2021-22
