,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,CFID,CFPARAMS,SEASON
0,1610612737,Atlanta Hawks,82,43,39,0.524,48.1,15.6,12.2,9.7,45.7,15.1,12.7,12.2,48.0,1,16,16,16,30,21,22,30,20,6,11,17,19,10,Atlanta Hawks,2021-22
1,1610612738,Boston Celtics,82,51,31,0.622,48.5,16.3,13.0,11.1,46.5,15.2,12.5,11.5,42.5,1,6,6,6,2,13,16,21,17,7,5,8,2,10,Boston Celtics,2021-22
2,1610612751,Brooklyn Nets,82,44,38,0.537,48.2,15.7,13.7,13.7,46.0,17.2,13.7,14.0,47.3,1,14,14,14,19,19,10,8,18,25,22,25,15,10,Brooklyn Nets,2021-22
3,1610612766,Charlotte Hornets,82,43,39,0.524,48.5,18.6,13.5,16.3,51.4,16.3,15.0,13.9,48.1,1,16,16,16,3,3,13,2,3,15,29,24,20,10,Charlotte Hornets,2021-22
4,1610612741,Chicago Bulls,82,46,36,0.561,48.1,16.4,11.1,12.7,45.8,15.3,12.7,12.0,49.6,1,12,12,12,24,12,28,13,19,8,9,13,22,10,Chicago Bulls,2021-22
5,1610612739,Cleveland Cavaliers,82,44,38,0.537,48.1,15.8,12.6,11.2,48.4,17.4,12.5,12.2,46.6,1,14,14,14,24,17,19,20,11,27,3,15,12,10,Cleveland Cavaliers,2021-22
6,1610612742,Dallas Mavericks,82,52,30,0.634,48.2,14.9,11.0,10.0,42.9,14.4,13.1,12.0,47.1,1,5,5,5,19,26,29,28,29,2,17,12,14,10,Dallas Mavericks,2021-22
7,1610612743,Denver Nuggets,82,48,34,0.585,48.3,15.6,12.5,13.5,49.3,17.3,11.4,12.5,49.9,1,10,10,10,8,22,20,10,6,26,1,19,24,10,Denver Nuggets,2021-22
8,1610612765,Detroit Pistons,82,23,59,0.28,48.2,17.0,13.6,10.5,45.6,16.9,12.5,11.0,49.7,1,28,28,28,13,8,12,26,21,21,4,3,23,10,Detroit Pistons,2021-22
9,1610612744,Golden State Warriors,82,53,29,0.646,48.1,17.6,12.6,13.8,44.7,16.9,12.7,12.3,43.9,1,3,3,3,24,6,18,7,25,21,9,18,5,10,Golden State Warriors,2021-22
10,1610612745,Houston Rockets,82,20,62,0.244,48.2,16.1,14.2,12.2,48.9,21.2,14.7,15.8,53.2,1,30,30,30,19,15,9,17,10,30,26,30,30,10,Houston Rockets,2021-22
11,1610612754,Indiana Pacers,82,25,57,0.305,48.5,14.5,14.7,13.3,49.7,17.1,13.6,13.4,51.5,1,26,26,26,3,28,6,11,5,23,20,22,29,10,Indiana Pacers,2021-22
12,1610612746,LA Clippers,82,42,40,0.512,48.2,15.4,10.9,11.9,43.4,16.5,15.0,13.0,50.1,1,18,18,18,13,23,30,18,27,18,30,20,25,10,LA Clippers,2021-22
13,1610612747,Los Angeles Lakers,82,33,49,0.402,48.7,16.1,12.1,14.8,49.2,17.1,13.4,15.0,51.5,1,23,23,23,1,16,24,5,7,24,18,29,28,10,Los Angeles Lakers,2021-22
14,1610612763,Memphis Grizzlies,82,56,26,0.683,48.2,18.3,18.7,17.7,57.6,14.5,13.0,13.2,47.4,1,2,2,2,13,4,1,1,1,3,14,21,16,10,Memphis Grizzlies,2021-22
15,1610612748,Miami Heat,82,53,29,0.646,48.4,17.2,12.7,10.9,43.0,16.7,12.6,12.2,41.3,1,3,3,3,5,7,17,22,28,19,6,15,1,10,Miami Heat,2021-22
16,1610612749,Milwaukee Bucks,82,51,31,0.622,48.2,15.1,13.5,13.1,45.0,15.6,12.9,11.5,43.7,1,6,6,6,19,24,14,12,24,12,12,7,4,10,Milwaukee Bucks,2021-22
17,1610612750,Minnesota Timberwolves,82,46,36,0.561,48.2,19.8,14.8,15.2,47.7,16.2,14.1,14.1,46.1,1,12,12,12,13,1,5,4,14,14,25,26,11,10,Minnesota Timberwolves,2021-22
18,1610612740,New Orleans Pelicans,82,36,46,0.439,48.2,16.6,15.1,14.3,48.4,16.1,12.6,11.2,45.3,1,20,20,20,19,9,3,6,11,13,7,4,9,10,New Orleans Pelicans,2021-22
19,1610612752,New York Knicks,82,37,45,0.451,48.2,15.6,14.5,10.6,41.5,15.4,12.3,11.3,43.2,1,19,19,19,13,20,7,25,30,10,2,5,3,10,New York Knicks,2021-22
20,1610612760,Oklahoma City Thunder,82,24,58,0.293,48.3,14.9,11.9,10.6,46.9,16.5,13.9,10.7,47.7,1,27,27,27,8,25,25,24,16,16,24,2,18,10,Oklahoma City Thunder,2021-22
21,1610612753,Orlando Magic,82,22,60,0.268,48.2,14.2,12.4,10.8,45.4,16.8,13.4,12.2,44.5,1,29,29,29,13,29,21,23,22,20,19,14,6,10,Orlando Magic,2021-22
22,1610612755,Philadelphia 76ers,82,51,31,0.622,48.3,15.7,11.3,12.2,45.0,14.9,13.0,15.0,46.7,1,6,6,6,8,18,27,16,23,5,15,28,13,10,Philadelphia 76ers,2021-22
23,1610612756,Phoenix Suns,82,64,18,0.78,48.1,18.1,12.1,12.5,49.8,14.8,13.6,11.3,45.2,1,1,1,1,24,5,23,14,4,4,21,6,8,10,Phoenix Suns,2021-22
24,1610612757,Portland Trail Blazers,82,27,55,0.329,48.1,16.6,13.6,12.4,43.8,17.5,13.0,14.3,47.5,1,25,25,25,24,10,11,15,26,28,15,27,17,10,Portland Trail Blazers,2021-22
