,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,CFID,CFPARAMS,SEASON
0,1610612737,Atlanta Hawks,82,43,39,0.524,3941.0,1277.0,1003.0,796.0,3744.0,1238.0,1045.0,1001.0,3936.0,1,16,16,1,30,21,22,30,20,6,11,17,19,10,Atlanta Hawks,2021-22
1,1610612738,Boston Celtics,82,51,31,0.622,3981.0,1340.0,1067.0,907.0,3816.0,1243.0,1029.0,947.0,3486.0,1,6,6,1,2,13,16,21,17,7,5,8,2,10,Boston Celtics,2021-22
2,1610612751,Brooklyn Nets,82,44,38,0.537,3951.0,1286.0,1126.0,1125.0,3768.0,1412.0,1127.0,1148.0,3876.0,1,14,14,1,19,19,10,8,18,25,22,25,15,10,Brooklyn Nets,2021-22
3,1610612766,Charlotte Hornets,82,43,39,0.524,3976.0,1526.0,1106.0,1334.0,4214.0,1339.0,1229.0,1140.0,3942.0,1,16,16,1,3,3,13,2,3,15,29,24,20,10,Charlotte Hornets,2021-22
4,1610612741,Chicago Bulls,82,46,36,0.561,3946.0,1344.0,911.0,1045.0,3752.0,1251.0,1040.0,987.0,4068.0,1,12,12,1,24,12,28,13,19,8,9,13,22,10,Chicago Bulls,2021-22
5,1610612739,Cleveland Cavaliers,82,44,38,0.537,3946.0,1298.0,1032.0,915.0,3968.0,1426.0,1026.0,998.0,3822.0,1,14,14,1,24,17,19,20,11,27,3,15,12,10,Cleveland Cavaliers,2021-22
6,1610612742,Dallas Mavericks,82,52,30,0.634,3951.0,1219.0,898.0,821.0,3520.0,1183.0,1078.0,982.0,3866.0,1,5,5,1,19,26,29,28,29,2,17,12,14,10,Dallas Mavericks,2021-22
7,1610612743,Denver Nuggets,82,48,34,0.585,3961.0,1276.0,1029.0,1106.0,4040.0,1422.0,931.0,1026.0,4088.0,1,10,10,1,8,22,20,10,6,26,1,19,24,10,Denver Nuggets,2021-22
8,1610612765,Detroit Pistons,82,23,59,0.28,3956.0,1392.0,1113.0,859.0,3740.0,1384.0,1027.0,902.0,4072.0,1,28,28,19,13,8,12,26,21,21,4,3,23,10,Detroit Pistons,2021-22
9,1610612744,Golden State Warriors,82,53,29,0.646,3946.0,1445.0,1037.0,1132.0,3662.0,1384.0,1040.0,1009.0,3600.0,1,3,3,1,24,6,18,7,25,21,9,18,5,10,Golden State Warriors,2021-22
10,1610612745,Houston Rockets,82,20,62,0.244,3951.0,1322.0,1163.0,1000.0,4008.0,1737.0,1203.0,1293.0,4360.0,1,30,30,19,19,15,9,17,10,30,26,30,30,10,Houston Rockets,2021-22
11,1610612754,Indiana Pacers,82,25,57,0.305,3976.0,1191.0,1204.0,1088.0,4078.0,1399.0,1113.0,1096.0,4226.0,1,26,26,19,3,28,6,11,5,23,20,22,29,10,Indiana Pacers,2021-22
12,1610612746,LA Clippers,82,42,40,0.512,3956.0,1263.0,891.0,972.0,3562.0,1356.0,1231.0,1063.0,4106.0,1,18,18,1,13,23,30,18,27,18,30,20,25,10,LA Clippers,2021-22
13,1610612747,Los Angeles Lakers,82,33,49,0.402,3996.0,1320.0,993.0,1215.0,4036.0,1400.0,1095.0,1234.0,4224.0,1,23,23,19,1,16,24,5,7,24,18,29,28,10,Los Angeles Lakers,2021-22
14,1610612763,Memphis Grizzlies,82,56,26,0.683,3956.0,1499.0,1533.0,1453.0,4720.0,1185.0,1064.0,1081.0,3890.0,1,2,2,1,13,4,1,1,1,3,14,21,16,10,Memphis Grizzlies,2021-22
15,1610612748,Miami Heat,82,53,29,0.646,3971.0,1413.0,1038.0,890.0,3526.0,1367.0,1033.0,998.0,3386.0,1,3,3,1,5,7,17,22,28,19,6,15,1,10,Miami Heat,2021-22
