,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,SEASON
0,1610612737,Atlanta Hawks,82,43,39,0.524,3941.0,3401,7241,0.47,1056,2821,0.374,1485,1829,0.812,823,2783,3606,2017,972.0,587,348,367,1534,1668,9343,128.0,1,16,16,16,30,11,13,7,11,18,2,3,11,4,17,17,20,15,1,22,23,10,7,6,6,14,10,Atlanta Hawks,2021-22
1,1610612738,Boston Celtics,82,51,31,0.622,3981.0,3341,7167,0.466,1085,3044,0.356,1397,1713,0.816,863,2915,3778,2036,1118.0,591,478,376,1521,1592,9164,597.0,1,6,6,6,2,13,18,15,8,9,14,14,24,2,11,4,5,14,13,19,2,11,5,20,12,2,10,Boston Celtics,2021-22
2,1610612751,Brooklyn Nets,82,44,38,0.537,3951.0,3442,7251,0.475,940,2602,0.361,1434,1781,0.805,844,2796,3640,2071,1153.0,582,448,403,1670,1616,9258,64.0,1,14,14,14,19,5,12,4,24,28,10,10,14,6,14,15,13,10,17,24,5,21,22,16,9,15,10,Brooklyn Nets,2021-22
3,1610612766,Charlotte Hornets,82,43,39,0.524,3976.0,3508,7497,0.468,1143,3130,0.365,1298,1753,0.74,888,2767,3655,2302,1087.0,707,402,377,1629,1609,9457,36.0,1,16,16,16,3,4,3,11,5,6,6,25,19,27,9,21,12,1,10,5,11,12,18,18,4,16,10,Charlotte Hornets,2021-22
4,1610612741,Chicago Bulls,82,46,36,0.561,3946.0,3422,7127,0.48,872,2364,0.369,1436,1766,0.813,711,2760,3471,1958,1053.0,585,336,410,1540,1489,9152,-32.0,1,12,12,12,24,7,20,3,29,30,4,9,17,3,29,22,28,19,6,23,25,24,8,28,13,20,10,Chicago Bulls,2021-22
5,1610612739,Cleveland Cavaliers,82,44,38,0.537,3946.0,3255,6940,0.469,953,2686,0.355,1376,1810,0.76,837,2786,3623,2064,1181.0,580,343,380,1433,1638,8839,174.0,1,14,14,14,24,21,29,9,20,22,15,18,12,21,16,16,15,11,22,26,24,15,1,11,25,13,10,Cleveland Cavaliers,2021-22
6,1610612742,Dallas Mavericks,82,52,30,0.634,3951.0,3222,6982,0.461,1073,3063,0.35,1341,1739,0.771,759,2769,3528,1918,1025.0,552,325,300,1612,1645,8858,271.0,1,5,5,5,19,25,27,18,10,8,19,22,22,16,24,20,24,25,3,29,28,1,14,10,24,8,10,Dallas Mavericks,2021-22
7,1610612743,Denver Nuggets,82,48,34,0.585,3961.0,3416,7079,0.483,1039,2944,0.353,1372,1725,0.795,752,2865,3617,2279,1189.0,592,305,392,1639,1632,9243,189.0,1,10,10,10,8,8,23,2,14,13,16,19,23,8,25,9,17,3,26,18,29,17,20,13,10,11,10,Denver Nuggets,2021-22
8,1610612765,Detroit Pistons,82,23,59,0.28,3956.0,3129,7267,0.431,925,2838,0.326,1413,1806,0.782,900,2625,3525,1924,1163.0,630,393,427,1799,1625,8596,-633.0,1,28,28,28,13,29,11,29,26,16,29,13,13,13,8,29,25,24,20,10,14,26,30,14,28,26,10,Detroit Pistons,2021-22
9,1610612744,Golden State Warriors,82,53,29,0.646,3946.0,3323,7087,0.469,1176,3231,0.364,1280,1665,0.769,800,2930,3730,2223,1221.0,719,372,317,1723,1474,9102,454.0,1,3,3,3,24,17,21,10,3,3,8,26,26,17,20,2,7,5,29,4,18,2,27,29,15,5,10,Golden State Warriors,2021-22
